Issue,Repo Name,Label
https://github.com/AntennaPod/AntennaPod/issues/6752,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/6698,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/6372,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/6320,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/6220,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/5481,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/5393,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/5247,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/4863,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/4532,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/4531,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/3691,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/3133,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/2965,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/2825,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/2606,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/2583,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/2551,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/2492,AntennaPod/AntennaPod,Media Playback
https://github.com/AntennaPod/AntennaPod/issues/2380,AntennaPod/AntennaPod,Media Playback
https://github.com/fast4x/RiMusic/issues/1065,fast4x/RiMusic,Voice
https://github.com/element-hq/element-android/issues/4205,element-hq/element-android,Voice
https://github.com/fast4x/RiMusic/issues/321,fast4x/RiMusic,Voice
https://gitlab.com/ultrasonic/ultrasonic/issues/827,ultrasonic/ultrasonic,Voice
https://gitlab.com/ultrasonic/ultrasonic/issues/884,ultrasonic/ultrasonic,Voice
https://github.com/VinylMusicPlayer/VinylMusicPlayer/issues/376,VinylMusicPlayer/VinylMusicPlayer,Voice
https://github.com/PaulWoitaschek/Voice/issues/438,PaulWoitaschek/Voice,Voice
